Unnamed: 0,checking_balance,months_loan_duration,credit_history,purpose,amount,savings_balance,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,default,dependents,telephone,foreign_worker,job,gender,Id
0,-43.0,6,critical,radio/tv,1169,,13 years,4,single,none,6 years,real estate,67,none,own,2,0,1,2349339647.0,yes,skilled employee,male,0
1,75.0,48,repaid,radio/tv,5951,89.0,2 years,2,,none,5 months,real estate,22,none,own,1,1,1,,yes,skilled employee,female,1
3,-32.0,42,repaid,furniture,7882,9.0,5 years,2,single,guarantor,13 years,building society savings,45,none,for free,1,0,2,,yes,skilled employee,male,3
5,,36,repaid,education,9055,,2 years,2,single,none,8 years,unknown/none,35,none,for free,1,0,2,2345787903.0,yes,unskilled resident,male,5
7,169.0,36,repaid,car (used),6948,57.0,2 years,2,single,none,3 months,other,35,none,rent,1,0,1,2349961683.0,yes,mangement self-employed,male,7
8,,12,repaid,radio/tv,3059,18426.0,4 years,2,divorced,none,24 years,real estate,61,none,own,1,0,1,,yes,unskilled resident,male,8
9,13.0,30,critical,car (new),5234,52.0,,4,married,none,10 months,other,28,none,own,2,1,1,,yes,mangement self-employed,male,9
10,26.0,12,repaid,car (new),1295,93.0,6 months,3,,none,,other,25,none,rent,1,1,1,,yes,skilled employee,female,10
11,-31.0,48,repaid,business,4308,71.0,5 months,3,,none,10 years,building society savings,24,none,rent,1,1,1,,yes,skilled employee,female,11
12,23.0,12,repaid,radio/tv,1567,48.0,2 years,1,,none,,other,22,none,own,1,0,1,2343498747.0,yes,skilled employee,female,12
14,-23.0,15,repaid,car (new),1403,86.0,3 years,2,,none,19 years,other,28,none,rent,1,0,1,,yes,skilled employee,female,14
15,-6.0,24,repaid,radio/tv,1282,209.0,1 years,4,,none,0 months,other,32,none,own,1,1,1,,yes,unskilled resident,female,15
16,,24,critical,radio/tv,2424,,17 years,4,single,none,7 years,building society savings,53,none,own,2,0,1,,yes,skilled employee,male,16
17,-34.0,30,fully repaid,business,8072,,3 months,2,single,none,3 years,other,25,bank,own,3,0,1,,yes,skilled employee,male,17
19,,24,repaid,radio/tv,3430,535.0,9 years,3,single,none,7 months,other,31,none,own,1,0,2,2340534057.0,yes,skilled employee,male,19
21,-8.0,6,repaid,radio/tv,2647,530.0,1 years,2,single,none,3 years,real estate,44,none,rent,1,0,2,,yes,skilled employee,male,21
22,-18.0,10,critical,car (new),2241,14.0,4 months,1,single,none,1 years,real estate,48,none,rent,2,0,2,,no,unskilled resident,male,22
23,113.0,12,critical,car (used),1804,361.0,3 months,3,single,none,16 years,building society savings,44,none,own,1,0,1,,yes,skilled employee,male,23
24,,10,critical,furniture,2069,,2 years,2,married,none,,other,26,none,own,2,0,1,,no,skilled employee,male,24
25,-21.0,6,repaid,furniture,1374,75.0,2 years,1,single,none,3 months,real estate,36,bank,own,1,0,1,2341353326.0,yes,unskilled resident,male,25
27,979.0,12,fully repaid this bank,radio/tv,409,7858.0,1 years,3,,none,1 years,real estate,42,none,rent,2,0,1,,yes,skilled employee,female,27
28,162.0,7,repaid,radio/tv,2415,10.0,3 years,3,single,guarantor,6 months,real estate,34,none,own,1,0,1,,yes,skilled employee,male,28
30,191.0,18,repaid,business,1913,9343.0,10 months,3,married,none,2 years,real estate,36,bank,own,1,0,1,2342557009.0,yes,skilled employee,male,30
32,116.0,18,repaid,car (new),5866,205.0,3 years,2,single,none,3 months,other,30,none,own,2,0,1,2344540410.0,yes,skilled employee,male,32
33,,12,critical,business,1264,,11 years,4,single,none,20 years,unknown/none,57,none,rent,1,0,1,,yes,unskilled resident,male,33
35,59.0,45,critical,radio/tv,4746,63.0,7 months,4,single,none,6 months,building society savings,25,none,own,2,1,1,,yes,unskilled resident,male,35
36,,48,critical,education,6110,41.0,2 years,1,single,none,2 years,unknown/none,31,bank,for free,1,0,1,2342603711.0,yes,skilled employee,male,36
37,884.0,18,repaid,radio/tv,2100,4.0,1 years,4,single,co-applicant,11 months,real estate,37,stores,own,1,1,1,,yes,skilled employee,male,37
40,,30,repaid,radio/tv,2333,957.0,19 years,4,single,none,8 months,other,30,bank,own,1,0,1,,yes,mangement self-employed,male,40
41,162.0,12,repaid,radio/tv,1158,641.0,2 years,3,divorced,none,,other,26,none,own,1,0,1,2343032970.0,yes,skilled employee,male,41
42,126.0,18,delayed,repairs,6204,90.0,1 years,2,single,none,14 years,real estate,44,none,own,1,0,2,2340366370.0,yes,unskilled resident,male,42
43,-19.0,30,critical,car (used),6187,118.0,7 years,1,married,none,16 years,other,24,none,rent,2,0,1,,yes,skilled employee,male,43
44,-1.0,48,critical,car (used),6143,12.0,14 years,4,,none,21 years,unknown/none,58,stores,for free,2,1,1,,yes,unskilled resident,female,44
45,,11,critical,car (new),1393,75.0,1 months,4,,none,5 years,other,35,none,own,2,0,1,,yes,mangement self-employed,female,45
46,,36,repaid,radio/tv,2299,880.0,17 years,4,single,none,8 years,other,39,none,own,1,0,1,,yes,skilled employee,male,46
47,-8.0,6,repaid,car (used),1352,879.0,,1,,none,6 months,building society savings,23,none,rent,1,0,1,2342430213.0,yes,unemployed non-resident,female,47
48,,11,critical,car (new),7228,99.0,1 years,1,single,none,8 years,building society savings,39,none,own,2,0,1,,yes,unskilled resident,male,48
49,,12,repaid,radio/tv,2073,308.0,3 years,4,,co-applicant,0 months,real estate,28,none,own,1,0,1,,yes,skilled employee,female,49
50,14.0,24,delayed,furniture,2333,,3 months,4,single,none,9 months,building society savings,29,bank,own,1,0,1,,yes,unskilled resident,male,50
51,39.0,27,delayed,car (used),5965,78.0,18 years,1,single,none,2 months,other,30,none,own,2,0,1,2348786695.0,yes,mangement self-employed,male,51
